Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh (EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb 29 2016  2:41PM,11.865,159.542,5.78,922.142,2448.558,156.706,5.701,893.397,2411.383,158.939,2.574,409.179,1412.663
Feb 29 2016  2:42PM,11.864,159.527,6.272,1000.521,2448.573,157.001,6.141,964.067,2411.398,158.588,2.415,382.969,1412.67
Feb 29 2016  2:43PM,11.87,157.879,6.322,998.167,2448.591,156.631,6.142,962.022,2411.413,158.655,2.44,387.12,1412.676
Feb 29 2016  2:44PM,11.869,159.164,5.847,930.635,2448.606,156.214,5.847,913.315,2411.43,159.624,2.746,438.37,1412.684
Feb 29 2016  2:45PM,11.874,155.616,5.99,932.078,2448.622,156.486,5.416,847.569,2411.444,159.264,3.436,547.253,1412.691
Feb 29 2016  2:46PM,11.866,159.101,6.733,1071.296,2448.636,156.26,6.591,1029.865,2411.458,159.963,3.508,561.175,1412.701
Feb 29 2016  2:47PM,11.868,159.37,6.726,1071.995,2448.658,156.21,6.635,1036.473,2411.479,158.851,5.254,834.628,1412.712
Feb 29 2016  2:48PM,11.869,159.488,6.62,1055.858,2448.674,156.277,6.548,1023.316,2411.495,159.01,4.646,738.718,1412.726
Feb 29 2016  2:49PM,11.868,159.406,6.561,1045.929,2448.691,156.087,6.473,1010.396,2411.511,160.116,5.495,879.858,1412.741
Feb 29 2016  2:50PM,11.87,159.953,6.449,1031.498,2448.71,158.066,6.312,997.644,2411.53,159.808,5.216,833.59,1412.752
Feb 29 2016  2:51PM,11.874,160.694,5.803,932.481,2448.726,157.429,5.724,901.136,2411.545,159.987,5.331,852.858,1412.769
Feb 29 2016  2:52PM,11.869,160.694,5.896,947.51,2448.741,155.941,5.977,932.104,2411.558,159.837,5.896,942.431,1412.785
Feb 29 2016  2:53PM,11.87,160.573,4.84,777.129,2448.755,159.166,4.668,743.05,2411.573,159.848,6.18,987.807,1412.8
Feb 29 2016  2:54PM,11.864,160.293,3.237,518.857,2448.766,159.783,3.101,495.448,2411.583,158.614,6.079,964.24,1412.815
Feb 29 2016  2:55PM,11.862,160.298,2.846,456.246,2448.773,157.072,2.791,438.41,2411.59,158.224,5.832,922.755,1412.832
Feb 29 2016  2:56PM,11.865,160.625,2.806,450.682,2448.78,157.535,2.725,429.293,2411.597,158.189,5.446,861.447,1412.845
Feb 29 2016  2:57PM,11.864,160.562,2.739,439.712,2448.789,158.503,2.662,422.004,2411.605,159.106,4.478,712.438,1412.861
Feb 29 2016  2:58PM,11.868,160.527,2.613,419.386,2448.795,158.495,2.539,402.402,2411.612,159.122,3.581,569.758,1412.87
Feb 29 2016  2:59PM,11.862,160.48,2.345,376.317,2448.802,158.491,2.267,359.238,2411.618,157.875,2.812,444.011,1412.88
Feb 29 2016  3:00PM,11.867,164.736,2.252,370.956,2448.81,158.485,2.224,352.539,2411.625,159.364,3.321,529.263,1412.886
Feb 29 2016  3:01PM,11.873,166.202,2.341,389.094,2448.814,158.521,2.311,366.353,2411.629,159.68,4.488,716.563,1412.898
Feb 29 2016  3:02PM,11.862,167.54,2.888,483.811,2448.823,159.558,2.895,461.881,2411.638,159.226,3.346,532.843,1412.909
Feb 29 2016  3:03PM,11.871,161.162,3.326,536.077,2448.841,161.678,3.326,537.817,2411.656,159.482,3.483,555.393,1412.919
Feb 29 2016  3:04PM,11.864,167.28,2.991,500.413,2448.85,160.111,3.013,482.427,2411.664,159.571,2.668,425.742,1412.928
Feb 29 2016  3:05PM,11.864,167.45,2.972,497.592,2448.858,160.081,2.998,479.919,2411.672,159.756,2.607,416.542,1412.934
Feb 29 2016  3:06PM,11.865,167.598,2.997,502.228,2448.865,160.105,3.022,483.814,2411.679,159.634,2.524,402.881,1412.942
Feb 29 2016  3:07PM,11.873,167.488,2.979,498.923,2448.875,160.092,3,480.263,2411.688,159.551,2.507,399.946,1412.948
Feb 29 2016  3:08PM,11.861,167.297,2.946,492.869,2448.883,159.996,2.933,469.338,2411.696,159.477,4.917,784.084,1412.96
Feb 29 2016  3:09PM,11.864,167.035,2.528,422.231,2448.891,160.031,2.544,407.176,2411.704,159.541,5.327,849.888,1412.975
Feb 29 2016  3:11PM,11.873,167.622,3.431,575.079,2448.898,167.472,3.344,559.97,2411.71,158.677,5.202,825.477,1412.987
Feb 29 2016  3:12PM,11.864,166.255,2.578,428.608,2448.906,163.381,2.554,417.293,2411.719,158.261,5.264,833.152,1413
Feb 29 2016  3:13PM,11.872,164.896,2.443,402.904,2448.913,159.396,2.454,391.201,2411.725,158.724,2.911,462.029,1413.014
Feb 29 2016  3:14PM,11.866,163.895,2.466,404.127,2448.92,163.085,2.437,397.438,2411.732,158,2.672,422.171,1413.022
Feb 29 2016  3:15PM,11.868,169.91,2.772,470.92,2448.927,163.572,2.744,448.775,2411.739,159.512,2.503,399.249,1413.029
Feb 29 2016  3:16PM,11.864,167.611,3.512,588.677,2448.936,163.646,3.402,556.674,2411.746,159.137,2.328,370.409,1413.036
Feb 29 2016  3:17PM,11.864,202.814,0.271,54.986,2448.945,190.998,1.004,191.785,2411.756,159.015,2.28,362.602,1413.041
Feb 29 2016  3:18PM,11.869,168.993,5.333,901.177,2448.957,165.253,5.258,868.95,2411.768,159.367,2.596,413.681,1413.048
Feb 29 2016  3:19PM,11.864,163.091,5.017,818.26,2448.974,161.557,5.083,821.149,2411.784,158.864,1.951,309.875,1413.053
Feb 29 2016  3:20PM,11.874,165.679,5.55,919.468,2448.989,159.849,5.528,883.677,2411.798,158.909,1.791,284.688,1413.058
Feb 29 2016  3:21PM,11.872,166.466,5.454,907.955,2449.002,159.764,5.351,854.815,2411.813,158.844,1.883,299.119,1413.063
Feb 29 2016  3:22PM,11.867,165.285,5.544,916.344,2449.02,159.729,5.487,876.438,2411.826,159.081,2.146,341.386,1413.068
Feb 29 2016  3:23PM,11.872,160.776,6.171,992.12,2449.034,159.702,6.035,963.847,2411.842,163.594,3.284,537.267,1413.075
Feb 29 2016  3:24PM,11.865,160.909,6.615,1064.404,2449.053,159.736,6.382,1019.39,2411.858,159.705,2.912,465.054,1413.083
Feb 29 2016  3:25PM,11.864,160.839,6.422,1032.958,2449.07,159.727,6.246,997.679,2411.875,157.134,2.703,424.759,1413.09
Feb 29 2016  3:26PM,11.865,160.806,6.158,990.261,2449.085,159.711,5.981,955.187,2411.891,160.523,2.798,449.13,1413.098
Feb 29 2016  3:27PM,11.867,160.789,5.633,905.663,2449.103,159.667,5.412,864.12,2411.908,163.731,2.959,484.439,1413.106
Feb 29 2016  3:28PM,11.865,165.215,4.709,777.975,2449.116,159.632,4.607,735.411,2411.921,162.935,2.818,459.186,1413.114
Feb 29 2016  3:29PM,11.868,164.49,3.618,595.174,2449.129,159.486,3.572,569.746,2411.931,163.485,2.872,469.547,1413.122
Feb 29 2016  3:30PM,11.864,160.691,2.959,475.518,2449.137,159.321,2.84,452.531,2411.94,162.804,4.44,722.827,1413.131
Feb 29 2016  3:31PM,11.867,164.296,3.498,574.698,2449.146,159.583,3.432,547.67,2411.949,159.422,4.772,760.7,1413.145
Feb 29 2016  3:32PM,11.866,165.1,4.558,752.524,2449.158,160.186,4.51,722.372,2411.96,159.367,4.577,729.378,1413.157
Feb 29 2016  3:33PM,11.87,164.867,3.168,522.336,2449.169,159.879,3.178,508.141,2411.971,159.338,4.068,648.133,1413.168
Feb 29 2016  3:34PM,11.861,161.329,3.91,630.814,2449.18,163.864,3.833,628.14,2411.982,159.26,3.44,547.875,1413.179
Feb 29 2016  3:35PM,11.866,164.951,2.759,455.108,2449.188,159.32,2.757,439.297,2411.99,159.231,3.043,484.6,1413.187
Feb 29 2016  3:36PM,11.866,164.872,2.686,442.89,2449.197,159.324,2.669,425.298,2411.998,159.191,2.855,454.496,1413.195
Feb 29 2016  3:37PM,11.864,164.91,2.607,429.991,2449.203,159.317,2.593,413.177,2412.004,159.082,2.573,409.359,1413.202
Feb 29 2016  3:38PM,11.872,165.019,2.563,422.864,2449.21,159.347,2.555,407.061,2412.011,159.116,2.472,393.278,1413.208
Feb 29 2016  3:39PM,11.874,166.717,4.981,830.439,2449.222,164.71,4.857,800.039,2412.022,159.135,2.768,440.546,1413.215
Feb 29 2016  3:40PM,11.871,167.271,5.411,905.147,2449.238,159.837,5.478,875.531,2412.038,159.091,2.502,398.009,1413.222
Feb 29 2016  3:41PM,11.862,161.481,5.572,899.761,2449.253,160.26,5.496,880.724,2412.052,159.084,2.544,404.702,1413.229
Feb 29 2016  3:42PM,11.864,165.483,5.422,897.305,2449.268,160.323,5.391,864.227,2412.067,159.021,2.176,346.085,1413.235
Feb 29 2016  3:43PM,11.873,160.716,2.938,472.108,2449.283,159.452,2.904,463.116,2412.08,159.094,2.747,437.095,1413.242
Feb 29 2016  3:44PM,11.87,160.457,2.779,445.839,2449.29,160.16,2.697,431.962,2412.087,159.069,2.541,404.264,1413.249
