Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh(EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb 28 2016  1:34AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:35AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:36AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:37AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:38AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:39AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:40AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:41AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:42AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:43AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:44AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:45AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:46AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:47AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:48AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:49AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:50AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:51AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:52AM,11.858,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:53AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:54AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:55AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:56AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:57AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:58AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:59AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:00AM,11.857,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:01AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:02AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:03AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:04AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:05AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:06AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:07AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:08AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:09AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:10AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:11AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:12AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:13AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:14AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:15AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:16AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:17AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:18AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:19AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:20AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:21AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:22AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:23AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:24AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:25AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:26AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:27AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:28AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:29AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:30AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:31AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:32AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:33AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:34AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:35AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:36AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:37AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:38AM,11.858,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:39AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:40AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:41AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:42AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:43AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:44AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:45AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:46AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:47AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:48AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:49AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:50AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:51AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:52AM,11.843,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:53AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:54AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:55AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:56AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:57AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:58AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  2:59AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:00AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
